date,CDN.AVG.3YTO5Y.AVG
2018-09-21 04:00:00+00:00,1.68
2018-09-21 04:00:00+00:00,1.63
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.63
2018-09-21 04:00:00+00:00,1.61
2018-09-21 04:00:00+00:00,1.62
2018-09-21 04:00:00+00:00,1.63
2018-09-21 04:00:00+00:00,1.61
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.59
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.48
2018-09-21 04:00:00+00:00,1.45
2018-09-21 04:00:00+00:00,1.41
2018-09-21 04:00:00+00:00,1.35
2018-09-21 04:00:00+00:00,1.41
2018-09-21 04:00:00+00:00,1.38
2018-09-21 04:00:00+00:00,1.38
2018-09-21 04:00:00+00:00,1.33
2018-09-21 04:00:00+00:00,1.32
2018-09-21 04:00:00+00:00,1.39
2018-09-21 04:00:00+00:00,1.43
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.39
2018-09-21 04:00:00+00:00,1.36
2018-09-21 04:00:00+00:00,1.4
2018-09-21 04:00:00+00:00,1.44
2018-09-21 04:00:00+00:00,1.44
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.39
2018-09-21 04:00:00+00:00,1.41
2018-09-21 04:00:00+00:00,1.38
2018-09-21 04:00:00+00:00,1.34
2018-09-21 04:00:00+00:00,1.26
2018-09-21 04:00:00+00:00,1.24
2018-09-21 04:00:00+00:00,1.25
2018-09-21 04:00:00+00:00,1.19
2018-09-21 04:00:00+00:00,1.1
2018-09-21 04:00:00+00:00,1.09
2018-09-21 04:00:00+00:00,0.91
2018-09-21 04:00:00+00:00,0.89
2018-09-21 04:00:00+00:00,0.75
2018-09-21 04:00:00+00:00,0.67
2018-09-21 04:00:00+00:00,0.53
2018-09-21 04:00:00+00:00,0.59
2018-09-21 04:00:00+00:00,0.54
2018-09-21 04:00:00+00:00,0.52
2018-09-21 04:00:00+00:00,0.62
2018-09-21 04:00:00+00:00,0.59
2018-09-21 04:00:00+00:00,0.77
2018-09-21 04:00:00+00:00,0.89
2018-09-21 04:00:00+00:00,0.81
2018-09-21 04:00:00+00:00,0.73
2018-09-21 04:00:00+00:00,0.65
2018-09-21 04:00:00+00:00,0.72
2018-09-21 04:00:00+00:00,0.75
2018-09-21 04:00:00+00:00,0.73
2018-09-21 04:00:00+00:00,0.59
2018-09-21 04:00:00+00:00,0.59
2018-09-21 04:00:00+00:00,0.57
2018-09-21 04:00:00+00:00,0.53
2018-09-21 04:00:00+00:00,0.56
2018-09-21 04:00:00+00:00,0.55
2018-09-21 04:00:00+00:00,0.6
2018-09-21 04:00:00+00:00,0.62
2018-09-21 04:00:00+00:00,0.59
2018-09-21 04:00:00+00:00,0.54
2018-09-21 04:00:00+00:00,0.52
2018-09-21 04:00:00+00:00,0.5
2018-09-21 04:00:00+00:00,0.42
2018-09-21 04:00:00+00:00,0.41
2018-09-21 04:00:00+00:00,0.43
2018-09-21 04:00:00+00:00,0.42
2018-09-21 04:00:00+00:00,0.39
2018-09-21 04:00:00+00:00,0.42
2018-09-21 04:00:00+00:00,0.42
2018-09-21 04:00:00+00:00,0.39
2018-09-21 04:00:00+00:00,0.42
2018-09-21 04:00:00+00:00,0.39
2018-09-21 04:00:00+00:00,0.38
2018-09-21 04:00:00+00:00,0.35
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.36
2018-09-21 04:00:00+00:00,0.36
2018-09-21 04:00:00+00:00,0.38
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.37
2018-09-21 04:00:00+00:00,0.36
2018-09-21 04:00:00+00:00,0.36
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.35
2018-09-21 04:00:00+00:00,0.35
2018-09-21 04:00:00+00:00,0.35
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.39
2018-09-21 04:00:00+00:00,0.42
2018-09-21 04:00:00+00:00,0.46
2018-09-21 04:00:00+00:00,0.42
2018-09-21 04:00:00+00:00,0.39
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.29
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.29
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.29
2018-09-21 04:00:00+00:00,0.29
2018-09-21 04:00:00+00:00,0.29
2018-09-21 04:00:00+00:00,0.29
2018-09-21 04:00:00+00:00,0.29
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.28
2018-09-21 04:00:00+00:00,0.27
2018-09-21 04:00:00+00:00,0.26
2018-09-21 04:00:00+00:00,0.26
2018-09-21 04:00:00+00:00,0.25
2018-09-21 04:00:00+00:00,0.28
2018-09-21 04:00:00+00:00,0.26
2018-09-21 04:00:00+00:00,0.27
2018-09-21 04:00:00+00:00,0.27
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.35
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.29
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.3
2018-09-21 04:00:00+00:00,0.31
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.33
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.32
2018-09-21 04:00:00+00:00,0.34
2018-09-21 04:00:00+00:00,0.35
2018-09-21 04:00:00+00:00,0.35
2018-09-21 04:00:00+00:00,0.37
